step,x,y,z,qx,qy,qz,qw,trans_norm
0,-0.0015865912,-0.0015403028,-0.0004306931,0.004428431,-0.0057505243,-0.0033977,0.9999679,0.0022528428
1,-0.0015779836,-0.0026685467,-0.0013102632,0.011462626,-0.005847931,0.00020889437,0.9999172,0.003365704
2,-0.0034345475,-0.010669891,-0.0028912842,0.04220769,-0.012786602,0.0038584163,0.99901956,0.011575933
3,-0.0033169612,-0.015426833,-0.004432695,0.058476675,-0.010734274,0.014119479,0.9981312,0.016390186
4,-0.004331753,-0.007849387,-0.004587718,0.027165223,-0.015287173,0.020705907,0.9992996,0.0100709535
5,-0.0057516233,-0.0008994298,-0.0048569893,0.013733539,-0.020651013,0.013951064,0.99959505,0.007581589
6,-0.012375414,-0.002594163,-0.006266431,0.035115134,-0.03825515,0.002147795,0.9986485,0.014112006
7,-0.022801831,-0.014047341,-0.013218928,0.11619174,-0.08005237,-0.015730998,0.9898705,0.029866224
8,-0.015551756,-0.009128406,-0.012934479,0.121575795,-0.05115309,-0.013215822,0.99117506,0.022192018
9,-0.008783491,0.008713831,-0.008689011,0.07051258,-0.028449276,-0.02068168,0.9968906,0.015118846
10,-0.003954304,0.013379529,-0.008984782,0.044955786,-0.018903492,-0.019238489,0.9986248,0.016594416
11,-0.003714384,0.016903779,-0.00741403,0.023168659,-0.011583679,-0.025360389,0.99934274,0.01882823
12,0.0038324413,0.018563807,-0.0059872647,0.005263414,0.015718402,-0.022992883,0.9995982,0.019878376
13,0.0073225247,0.013660338,-0.0060312515,-0.00024571238,0.023554195,-0.017325547,0.9995724,0.016631301
14,0.0003991509,0.010966459,-0.004955262,-0.0012155406,0.00475062,-0.025663728,0.9996586,0.012040647
15,-0.0002776614,0.010350116,-0.0008957977,-0.011052333,-0.0008113347,-0.021061124,0.99971676,0.010392519
16,0.0013500432,0.004601543,0.005175326,-0.00886208,0.0056047803,-0.006025444,0.99992687,0.007055552
17,0.0036893864,0.0027852843,0.007228888,-0.007814075,0.013754715,0.00067988713,0.99987465,0.008580571
18,0.0011142191,-0.0004955515,0.0042378544,-0.0037104387,0.004165825,0.0012843017,0.9999836,0.0044098147
