step,x,y,z,qx,qy,qz,qw,trans_norm
0,-0.014668081,-0.00164645,-0.008549009,-0.02569903,-0.0046148966,0.0102943815,0.9996061,0.017057225
1,-0.016275948,-0.0036643036,-0.011451208,-0.029311225,-0.0005529152,0.0105355205,0.99951464,0.02023521
2,-0.018408729,-0.0038640604,-0.014054091,-0.02825073,-0.0037012785,0.008656625,0.99955654,0.023480412
3,-0.03704613,-0.0052254763,-0.03139464,-0.05877819,-0.006103253,0.007486595,0.9982243,0.048839994
4,-0.014497633,0.0018553017,-0.015282158,-0.031505853,0.0032987858,-0.0048833285,0.9994862,0.021146344
5,-0.01064426,0.004983636,-0.014684535,-0.0325692,0.0042029177,-0.014486763,0.9993557,0.01880884
6,-0.0016390044,0.011674525,-0.02848715,-0.056799863,0.009479877,-0.038545318,0.9975962,0.030830156
7,0.008955142,0.010241219,-0.012916907,-0.031924304,-0.0045239767,-0.027122268,0.999112,0.018759627
8,0.014574832,0.016581835,-0.010323685,-0.03669066,-0.014246007,-0.030939903,0.998746,0.024371324
9,0.047161594,0.04808845,-0.0103696855,-0.087563396,-0.012732701,-0.06566574,0.99391073,0.0681487
10,0.02822812,0.031044258,0.0025692114,-0.044055216,0.01105704,-0.032652628,0.9984341,0.042037763
11,0.02727971,0.03148375,0.007624519,-0.03390471,0.01957837,-0.026108975,0.9988921,0.042350236
12,0.038155,0.053221855,0.02822153,-0.03431657,0.039616257,-0.04875779,0.9974345,0.07130796
13,0.008970674,0.019516386,0.020644238,-0.004186913,0.027389858,-0.006232735,0.99959666,0.029791726
14,0.010636394,0.018760053,0.017532034,-0.0039405897,0.045970555,0.00808558,0.9989023,0.02779289
15,0.011553185,0.03155501,0.03160853,-0.017274696,0.06719356,0.03838626,0.9968516,0.046133433
16,0.002145868,0.009990725,0.01353452,0.0038108896,0.013763584,0.015162713,0.99978304,0.016958848
17,0.0028827165,0.0075884247,0.010880625,0.016444623,0.006176247,0.003872708,0.9998382,0.01357506
18,0.0032468056,0.0064066676,0.008011801,0.016579958,0.00022175803,-0.0069099753,0.99983865,0.01075993
19,0.015450427,0.011462029,0.0060654874,0.017719144,0.017571233,-0.00050790864,0.99968845,0.020171365
20,0.006555353,0.0040298784,-0.0018929588,0.008439259,0.004745251,0.001782446,0.99995154,0.007924384
21,0.0057160766,0.0051850467,-0.0044152215,0.0034152411,0.0018855962,-0.005750401,0.99997586,0.008891143
