pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
-0.0011921516,-0.0064749746,-0.004730872,-7.4013406e-05,-0.0007528326,0.0006454498,0.9999995,-0.0015865912,-0.0015403028,-0.0004306931,0.004428431,-0.0057505243,-0.0033977,0.9999679
-0.0013637617,-0.0036353795,-0.0028303703,0.0012144584,-0.0019444257,0.0016427551,0.99999607,-0.0015779836,-0.0026685467,-0.0013102632,0.011462626,-0.005847931,0.00020889437,0.9999172
-0.0061719664,-0.020052362,0.028953139,0.041208476,-0.012271738,0.0055910796,0.99905956,-0.0034345475,-0.010669891,-0.0028912842,0.04220769,-0.012786602,0.0038584163,0.99901956
-0.03592296,-0.0397404,0.02335414,0.068510085,-0.018616816,0.02270302,0.9972184,-0.0033169612,-0.015426833,-0.004432695,0.058476675,-0.010734274,0.014119479,0.9981312
0.004205742,-0.017054189,0.011993947,0.034011915,-0.016130721,0.023085492,0.99902457,-0.004331753,-0.007849387,-0.004587718,0.027165223,-0.015287173,0.020705907,0.9992996
-0.00458871,-0.014424872,0.006874851,0.01665191,-0.017530268,0.012617112,0.999628,-0.0057516233,-0.0008994298,-0.0048569893,0.013733539,-0.020651013,0.013951064,0.99959505
-0.032780383,-0.040548474,0.017170843,0.036024004,-0.03486761,0.0031396756,0.9987375,-0.012375414,-0.002594163,-0.006266431,0.035115134,-0.03825515,0.002147795,0.9986485
-0.04823678,0.06447104,-0.19665104,0.20456876,-0.113621935,-0.029038412,0.97180164,-0.022801831,-0.014047341,-0.013218928,0.11619174,-0.08005237,-0.015730998,0.9898705
0.003846177,-0.11957292,-0.08551086,0.2693298,-0.09004673,-0.011456711,0.95876056,-0.015551756,-0.009128406,-0.012934479,0.121575795,-0.05115309,-0.013215822,0.99117506
0.032650117,-0.08628067,0.040881295,0.10205284,-0.03220976,-0.015745776,0.99413264,-0.008783491,0.008713831,-0.008689011,0.07051258,-0.028449276,-0.02068168,0.9968906
0.0046707448,-0.027672367,0.056772918,0.05186726,-0.015646555,-0.012753528,0.9984499,-0.003954304,0.013379529,-0.008984782,0.044955786,-0.018903492,-0.019238489,0.9986248
0.013422442,0.0044890204,0.027121231,0.022606082,-0.009277752,-0.01975906,0.9995061,-0.003714384,0.016903779,-0.00741403,0.023168659,-0.011583679,-0.025360389,0.99934274
-0.0060864068,-0.0073240018,0.008738027,0.0071554165,0.00788755,-0.011609485,0.9998759,0.0038324413,0.018563807,-0.0059872647,0.005263414,0.015718402,-0.022992883,0.9995982
-0.0043901177,-0.02034311,0.033583064,-0.0037619022,0.022577114,-0.012671193,0.99965775,0.0073225247,0.013660338,-0.0060312515,-0.00024571238,0.023554195,-0.017325547,0.9995724
-0.0037286768,0.006976378,0.010467579,-0.00029857896,-0.0017686058,-0.01371389,0.9999044,0.0003991509,0.010966459,-0.004955262,-0.0012155406,0.00475062,-0.025663728,0.9996586
0.009186742,0.0072087785,0.004161151,-0.0063662305,-0.0043023597,-0.014528082,0.99986494,-0.0002776614,0.010350116,-0.0008957977,-0.011052333,-0.0008113347,-0.021061124,0.99971676
0.0013819407,-0.010085974,0.006027185,-0.0008533508,0.00021410653,0.00025848922,0.9999996,0.0013500432,0.004601543,0.005175326,-0.00886208,0.0056047803,-0.006025444,0.99992687
-0.0038226475,-0.01775342,0.01781133,-0.006519624,0.012196078,0.0020660947,0.99990225,0.0036893864,0.0027852843,0.007228888,-0.007814075,0.013754715,0.00067988713,0.99987465
0.0008175303,-0.0131982565,0.009596731,-0.00019562931,0.0002617121,0.00062735216,0.99999976,0.0011142191,-0.0004955515,0.0042378544,-0.0037104387,0.004165825,0.0012843017,0.9999836
0.002827065,-0.011537236,0.008802706,0.0019503526,-0.001411619,0.0032629971,0.9999918,-0.0007549697,-0.007888179,0.0030530146,0.008882603,0.00061688427,0.006048208,0.99994206
