frame,x,y,z,qx,qy,qz,qw
0,-8.773617,5.510002,2.946782,0.22569262091397552,0.8153758496892132,0.06062279697689315,0.5296696527981123
1,-8.774335,5.507438,2.945155,0.22665213705582657,0.8158207732009444,0.06179661101522109,0.5284377481301592
2,-8.775152,5.504089,2.943712,0.22565637294251173,0.8166299827919552,0.06328685098387703,0.5274366758656301
3,-8.776857,5.498979,2.942677,0.22353247804136936,0.8170430011512109,0.06457569201195108,0.5275452070976332
4,-8.779562,5.492219,2.941356,0.22173110595977252,0.8175287428516801,0.06715884598781573,0.5272302729043474
5,-8.783076,5.483642,2.939233,0.2189577539844129,0.8188986009417045,0.07083435599495747,0.5257804459625709
6,-8.786968,5.472505,2.937815,0.21586521289703406,0.820301402608723,0.0755298309639729,0.5242166187499531
7,-8.791473,5.459194,2.935649,0.21463948411775377,0.8211752114505065,0.07944027004358187,0.522771850286799
8,-8.795421,5.445286,2.931723,0.21417969007012638,0.8242302802698681,0.08349427802733757,0.5174941651694371
9,-8.799035,5.429724,2.925487,0.21663144491389685,0.826948059671318,0.08381426096668686,0.5120575097964757
10,-8.79306,5.410397,2.921771,0.22093880602100494,0.8307593440789813,0.07857816500747053,0.5048271270479946
11,-8.777416,5.380213,2.916343,0.2250747990390623,0.8331567041445964,0.0673600260116905,0.5006534410868896
12,-8.749217,5.342259,2.909774,0.22971936200127113,0.832755439004608,0.05815979300032182,0.5003646990027687
13,-8.707063,5.297976,2.906001,0.23024511988301444,0.8336603835764244,0.04514494697706224,0.49995948174597493
14,-8.652329,5.243057,2.907757,0.22785786010959558,0.8337568884010222,0.027230915013097587,0.5021839542415416
15,-8.595416,5.184819,2.921032,0.23115623003682126,0.8316775831324794,0.02007498600319778,0.5044563310803557
16,-8.552978,5.116525,2.939345,0.2388965609199165,0.8168659357261682,-0.003337088998881333,0.525021275824001
17,-8.521829,5.043006,2.95935,0.2481516969664026,0.8007330328915883,-0.02043931299723271,0.5448206859262364
18,-8.510288,4.959244,2.971891,0.2593747641451569,0.7819261034375984,-0.03679150702059006,0.5656524423165626
19,-8.510461,4.865328,2.982728,0.25813296702989386,0.7584492620878345,-0.05044375300584179,0.5963032080690567
20,-8.515515,4.754971,3.015279,0.23815050194701895,0.740315606835303,-0.08061745398206514,0.6234725068612968
21,-8.515951,4.662809,3.076345,0.17710905393077114,0.7413406977102228,-0.12594860095076887,0.6349671667518023
22,-8.504954,4.605032,3.138835,0.13440514402593934,0.7415282601431102,-0.1477334870285116,0.6405044211236133
23,-8.484446,4.5582,3.175657,0.12152607200786875,0.735897534047649,-0.14814372200959222,0.6494148680420493
24,-8.446326,4.507032,3.179773,0.11466038595262619,0.7341741396966639,-0.1502939449379036,0.6521142987305683
25,-8.390883,4.447031,3.171653,0.11061168700220855,0.7366673620147088,-0.14881499200297135,0.6503386430129852
26,-8.317033,4.371651,3.164216,0.11838448001494364,0.7443356930939573,-0.13475972601701067,0.6432645700811991
27,-8.239887,4.286967,3.19075,0.125984786957249,0.7503092297453942,-0.1333925059547353,0.6351144247844838
28,-8.19889,4.213814,3.248162,0.14561857690437563,0.7477970395089389,-0.13925654090855347,0.632615549584576
29,-8.181678,4.146074,3.312292,0.161421384985423,0.7453946299326878,-0.12852833498839336,0.6338852019427577
30,-8.183697,4.064695,3.35665,0.190819698043781,0.7286000971671673,-0.12483868702864254,0.6458676671481856
31,-8.184327,3.984913,3.36395,0.19278030996565823,0.7099491298735301,-0.1395619339751385,0.6628200748819255
32,-8.183659,3.895816,3.370752,0.16674632494374494,0.7060505977618005,-0.14894070394975203,0.6719411307733079
33,-8.19275,3.810762,3.433066,0.14690515400796628,0.709495786038474,-0.16160133500876322,0.670014637036333
34,-8.19685,3.756641,3.49454,0.14132744994612575,0.7119447487286056,-0.15265325694180834,0.6707147007443225
35,-8.181994,3.706575,3.515115,0.12958116706078393,0.7157464183357424,-0.15543217507291013,0.6683985523135324
36,-8.14869,3.65307,3.512245,0.12417464805675302,0.7206355733293607,-0.15609934107134396,0.6640015233034766
37,-8.099578,3.593263,3.502325,0.12600644194262875,0.7256519716696077,-0.1546056439296074,0.6585200737001732
38,-8.026875,3.527949,3.489803,0.1271124440228808,0.7329409781319327,-0.15652484002817518,0.6497229591169531
39,-7.951669,3.462788,3.500631,0.1245129249224463,0.7356191655418147,-0.15992713290038832,0.6463623495974089
40,-7.911905,3.40038,3.521617,0.1493108330087459,0.721588622042267,-0.1423663080083391,0.6608691020387105
41,-7.889463,3.339951,3.53477,0.1859840979802909,0.703620491925436,-0.12068460998721083,0.6751024689284582
42,-7.865595,3.271743,3.530876,0.19859044703448872,0.6984177461212925,-0.12659742902198587,0.6758310271173699
43,-7.84833,3.18083,3.519694,0.2059515559451453,0.6881646328167089,-0.12973182196544625,0.6835078998179492
44,-7.832488,3.073841,3.532403,0.20618874497169198,0.6877825969055731,-0.12961398698220508,0.683843194906114
