step,x,y,z,qx,qy,qz,qw,trans_norm
0,-3.0864205e-05,0.001886972,0.00027526377,3.2198688e-05,-1.3033746e-05,-0.002852313,0.99999595,0.0019071932
1,7.2990035e-05,0.0033061637,2.7343965e-05,-0.0006458131,-0.001422783,-0.004737724,0.99998754,0.0033070825
2,0.00020708634,0.001801668,-0.00011104919,-0.0018838181,-0.00037653573,-0.001361544,0.9999972,0.0018169271
3,0.00048076682,0.0016445637,-0.0009814501,-0.00063293485,0.00011022855,-0.0009156865,0.9999994,0.0019745813
4,0.0003447464,0.0011439057,-0.0009314289,-0.0009864751,3.8487582e-05,0.00024651692,0.99999946,0.0015149027
5,0.0003729248,0.00064057787,-0.0008252715,7.3408744e-05,0.0015872541,-0.00097583194,0.9999983,0.0011092727
6,-0.0014546209,0.012735632,-0.0066605555,-0.023520038,0.0048386045,-0.0147516485,0.9996028,0.014445596
7,0.001816464,0.0367703,-0.005571774,-0.105168805,0.021362811,-0.019900575,0.9940257,0.03723438
8,0.0042151855,0.022484642,0.001441367,-0.072061256,0.019434892,-0.015898349,0.9970841,0.022921702
9,0.009112407,0.033129957,0.003073077,-0.09718546,0.030320147,-0.025963748,0.9944655,0.034497447
10,0.0044675726,0.009995383,0.001570213,-0.024232624,0.012810985,-0.0075101545,0.99959606,0.011060401
11,0.0070343856,0.012736784,0.0019913213,-0.022350542,0.020733641,-0.012111652,0.99946177,0.01468583
12,0.005572133,0.0064584794,0.0010316647,-0.0023952187,0.014870677,-0.008507147,0.9998504,0.0085921455
13,0.002366577,0.0011376446,5.2205946e-06,0.004645936,0.004546251,-0.0020728162,0.99997675,0.0026258235
14,0.0036235112,-0.00091281394,-0.0011362545,0.017029405,0.0049409335,-0.0014419155,0.99984175,0.0039056544
15,0.0012991643,-0.0028258706,-0.0026976,0.022922836,-0.0006906761,0.0006431221,0.9997368,0.0041170884
16,-0.0005841069,-0.002725172,-0.002006627,0.017552173,-0.004407842,-0.0005222059,0.9998361,0.0034342825
17,-0.0035062362,-0.016895758,-0.0070572277,0.08169279,-0.01382811,-0.001878115,0.99655986,0.018643089
18,-0.0012505372,-0.0147679765,-0.0036268504,0.05905264,-0.004489413,0.0049464316,0.99823254,0.015258146
19,-0.0008906517,-0.027373848,-0.0060142097,0.09544936,-0.0063138218,0.023529159,0.99513614,0.028040892
20,0.002073824,-0.017383717,-0.0005769548,0.05147735,-0.0034419056,0.026844623,0.99830735,0.017516484
21,-0.0020566587,-0.0068633514,-0.0007573581,0.018563826,-0.0070066922,0.006640783,0.9997811,0.0072047925
