frame,x,y,z,qx,qy,qz,qw
0,-2.015014,-2.501147,-0.340155,-0.7075457126775272,-0.36024319183581466,0.49663622377365185,-0.3506513488401862
1,-2.00667,-2.498503,-0.337511,-0.703646549942816,-0.36214004697056956,0.5024839139591641,-0.34820401397170214
2,-2.001584,-2.495306,-0.336905,-0.7055456080923453,-0.3548083960464391,0.5111314390668994,-0.33920649904439704
3,-2.018372,-2.478001,-0.34685,-0.7412791849850905,-0.30825212699380006,0.5300596429893387,-0.2729882249945093
4,-2.017477,-2.462689,-0.329732,-0.7135617347293336,-0.30092088788585547,0.5842586137783805,-0.24273059590792803
5,-2.016714,-2.462266,-0.327077,-0.7046902979625106,-0.3082714689836,0.599040708968131,-0.22255451998816014
6,-2.017941,-2.462875,-0.305096,-0.660649952157787,-0.3002489710717103,0.675852586161418,-0.1289010390307862
7,-2.010603,-2.471276,-0.30153,-0.651189457976713,-0.30365093898914125,0.684074179975537,-0.12566190099550623
8,-2.012147,-2.47263,-0.305349,-0.6576270632173694,-0.3098894971024297,0.6718445932220688,-0.14184494304688486
9,-2.013432,-2.471547,-0.30496,-0.6543134277971764,-0.3133315059028737,0.6713811997918857,-0.15147471795304596
10,-2.017836,-2.467714,-0.309136,-0.6674762689919501,-0.30549260899631575,0.6584036369920596,-0.16629596199799443
11,-2.047648,-2.460513,-0.336651,-0.7380037729848884,-0.2758889259943508,0.5670798869883883,-0.2401169159950833
12,-2.082991,-2.44324,-0.344988,-0.7557015949412463,-0.2571612959800064,0.5469413319574769,-0.252266419980387
13,-2.102397,-2.381934,-0.308552,-0.7208031717533091,-0.16317252894415513,0.6705101767705216,-0.06506624497773143
14,-2.093959,-2.345793,-0.301329,-0.7186419942755857,-0.1250567120479569,0.6827906942618376,-0.04136871601586413
15,-2.123927,-2.33505,-0.323561,-0.7617692518134612,-0.12194783897013795,0.6274109318463623,-0.10579155997409423
16,-2.171247,-2.312424,-0.363086,-0.8265756760055616,-0.05743807900038647,0.5344854030035963,-0.16672994000112182
